;FirstOcc;TonesName
0;1;H
1;1;F
2;1;Fis
3;1;H
4;0;H
5;1;G
6;1;F
7;0;F
8;1;H
9;1;Gis
10;1;Dis
11;1;Gis
12;1;Cis
13;1;F
14;0;F
15;1;Dis
16;1;F
17;0;F
18;0;F
19;0;F
20;0;F
21;0;F
22;0;F
23;0;F
24;0;F
25;0;F
26;0;F
27;1;Dis
28;1;F
29;1;Cis
30;0;Cis
31;0;Cis
32;1;H
33;1;A
34;0;A
35;1;B
36;1;G
37;0;G
38;0;G
39;1;B
40;1;Gis
41;0;Gis
42;0;Gis
43;1;G
44;1;Fis
45;1;G
46;1;Fis
47;0;Fis
48;0;Fis
49;0;Fis
50;0;Fis
51;0;Fis
52;0;Fis
53;0;Fis
54;0;Fis
55;0;Fis
56;0;Fis
57;0;Fis
58;0;Fis
59;1;Dis
60;0;Dis
61;0;Dis
62;1;Fis
63;0;Fis
64;0;Fis
65;0;Fis
66;0;Fis
67;0;Fis
68;1;F
69;0;F
70;0;F
71;0;F
72;0;F
73;0;F
74;1;E
75;0;E
76;0;E
77;0;E
78;0;E
79;1;F
80;0;F
81;0;F
82;0;F
83;0;F
84;0;F
85;0;F
86;0;F
87;0;F
88;0;F
89;0;F
90;0;F
91;0;F
92;0;F
93;0;F
94;0;F
95;0;F
96;0;F
97;0;F
98;0;F
99;0;F
100;0;F
101;1;E
102;0;E
103;0;E
104;1;G
105;0;G
106;0;G
107;1;F
108;1;D
109;0;D
110;1;E
111;0;E
112;1;F
113;0;F
114;1;E
115;1;Dis
116;1;E
117;0;E
118;0;E
119;0;E
120;0;E
121;0;E
122;0;E
123;0;E
124;1;F
125;1;Dis
126;0;Dis
127;1;F
128;0;F
129;0;F
130;0;F
131;0;F
132;0;F
133;0;F
134;1;H
135;1;Fis
136;1;F
137;0;F
138;1;E
139;1;F
140;1;E
141;0;E
142;0;E
143;0;E
144;0;E
145;1;C
146;0;C
147;0;C
148;0;C
149;0;C
150;0;C
151;0;C
152;0;C
153;0;C
154;0;C
155;0;C
156;0;C
157;0;C
158;0;C
159;0;C
160;0;C
161;0;C
162;0;C
163;0;C
164;0;C
165;0;C
166;0;C
167;0;C
168;1;E
169;0;E
170;0;E
171;0;E
172;0;E
173;0;E
174;0;E
175;0;E
176;0;E
177;0;E
178;0;E
179;0;E
180;0;E
181;0;E
182;0;E
183;0;E
184;0;E
185;0;E
186;0;E
187;0;E
188;0;E
189;0;E
190;0;E
191;0;E
