;FirstOcc;TonesName
0;1;B
1;1;Gis
2;0;Gis
3;1;A
4;1;Gis
5;0;Gis
6;1;A
7;1;B
8;1;Gis
9;0;Gis
10;1;A
11;1;G
12;0;G
13;1;E
14;0;E
15;1;B
16;1;H
17;1;F
18;1;B
19;1;G
20;1;D
21;1;C
22;1;H
23;0;H
24;0;H
25;1;D
26;0;D
27;1;C
28;0;C
29;0;C
30;1;F
31;1;D
32;1;E
33;1;Fis
34;1;B
35;1;E
36;0;E
37;0;E
38;1;G
39;0;G
40;1;Gis
41;0;Gis
42;1;Fis
43;1;Gis
44;0;Gis
45;0;Gis
46;1;G
47;0;G
48;0;G
49;0;G
50;0;G
51;0;G
52;1;B
53;1;A
54;1;C
55;0;C
56;1;A
57;1;H
58;1;E
59;1;A
60;1;Fis
61;1;Cis
62;0;Cis
63;1;Dis
64;0;Dis
65;1;E
66;1;Cis
67;1;H
68;1;C
69;0;C
70;1;A
71;0;A
72;1;F
73;0;F
74;0;F
75;1;Dis
76;0;Dis
77;0;Dis
78;1;D
79;1;F
80;1;Cis
81;1;H
82;1;C
83;0;C
84;0;C
85;0;C
86;1;F
87;0;F
88;1;G
89;1;E
90;1;G
91;0;G
92;1;Dis
93;0;Dis
94;0;Dis
95;1;D
96;0;D
97;1;Cis
98;1;E
99;1;Fis
100;1;Gis
101;1;A
102;1;Dis
103;1;D
104;1;G
105;0;G
106;0;G
107;1;Cis
108;1;Gis
109;1;Cis
110;1;F
111;1;H
112;0;H
113;1;B
114;1;Dis
115;0;Dis
116;1;G
117;1;Cis
118;0;Cis
119;1;F
120;1;Fis
121;1;E
122;1;Fis
123;1;G
124;0;G
125;1;C
126;1;Gis
127;1;E
128;1;A
129;0;A
130;0;A
131;1;G
132;0;G
133;1;C
134;1;G
135;0;G
136;1;Gis
137;1;Cis
138;1;D
139;0;D
140;0;D
141;0;D
142;0;D
143;0;D
144;0;D
145;0;D
146;0;D
147;0;D
148;0;D
149;0;D
150;0;D
151;0;D
152;0;D
153;0;B
154;1;Fis
155;0;Fis
156;0;Fis
157;0;Fis
158;0;Fis
159;0;Fis
160;0;Fis
161;0;Fis
162;0;Fis
163;0;Fis
164;0;Fis
165;0;Fis
166;0;Fis
167;0;Fis
168;0;Fis
169;0;Fis
170;0;Fis
171;0;Fis
172;0;Fis
173;0;Fis
174;0;Fis
175;0;Fis
176;0;Fis
177;0;Fis
178;0;Fis
179;0;Fis
180;0;Fis
181;1;Fis
182;0;Fis
183;0;Fis
184;0;Fis
185;0;Fis
